time,open,high,low,close,tick_volume,spread,real_volume
2024-08-13 00:45:00,1.09308,1.0931,1.09299,1.09304,93,32,0
2024-08-13 01:00:00,1.09304,1.09313,1.09291,1.09308,121,26,0
2024-08-13 01:15:00,1.0931,1.09316,1.09305,1.09306,241,15,0
2024-08-13 01:30:00,1.09307,1.09314,1.09302,1.09311,215,15,0
2024-08-13 01:45:00,1.0930900000000001,1.0931899999999999,1.09308,1.09315,103,15,0
2024-08-13 02:00:00,1.09316,1.09326,1.09305,1.09305,160,16,0
2024-08-13 02:15:00,1.09305,1.09318,1.09305,1.0931,146,16,0
2024-08-13 02:30:00,1.09313,1.09336,1.0931,1.09332,191,15,0
2024-08-13 02:45:00,1.09331,1.09355,1.09331,1.09353,226,15,0
2024-08-13 03:00:00,1.09352,1.09352,1.09302,1.09312,553,15,0
2024-08-13 03:15:00,1.09312,1.09321,1.09298,1.09304,438,15,0
2024-08-13 03:30:00,1.09303,1.09305,1.09286,1.09295,332,15,0
2024-08-13 03:45:00,1.09296,1.09305,1.09286,1.09291,462,15,0
2024-08-13 04:00:00,1.0929,1.09304,1.09285,1.0929,347,15,0
2024-08-13 04:15:00,1.09291,1.09301,1.09284,1.09294,465,15,0
2024-08-13 04:30:00,1.09294,1.09329,1.0929,1.09327,471,15,0
2024-08-13 04:45:00,1.09326,1.09345,1.0931899999999999,1.0934,258,15,0
2024-08-13 05:00:00,1.0934,1.0935,1.09337,1.0935,271,15,0
2024-08-13 05:15:00,1.0935,1.09367,1.09348,1.09359,137,15,0
2024-08-13 05:30:00,1.09358,1.09362,1.09331,1.0934,153,15,0
2024-08-13 05:45:00,1.0934,1.09352,1.09339,1.09344,164,15,0
2024-08-13 06:00:00,1.09345,1.09361,1.09343,1.09359,211,15,0
2024-08-13 06:15:00,1.09359,1.09372,1.09355,1.09361,197,15,0
2024-08-13 06:30:00,1.0936,1.09375,1.0936,1.0937000000000001,130,15,0
2024-08-13 06:45:00,1.0937000000000001,1.09372,1.09349,1.0936,145,15,0
2024-08-13 07:00:00,1.09361,1.09375,1.0936,1.0937000000000001,170,15,0
