close_days,sl_perc,tp_perc,buy_threshold,sell_threshold,Return [%]
2,0.008,0.007,0.001,0.002,-1.4930340577060974
2,0.008,0.003,0.001,0.002,-1.4930340577060974
2,0.008,0.002,0.001,0.002,-1.4930340577060974
2,0.008,0.008,0.001,0.002,-1.4930340577060974
2,0.008,0.005,0.001,0.002,-1.4930340577060974
2,0.005,0.003,0.001,0.005,-1.4711236049012466
2,0.005,0.006,0.001,0.005,-1.4711236049012466
2,0.005,0.002,0.001,0.005,-1.4711236049012466
2,0.005,0.004,0.001,0.005,-1.4711236049012466
2,0.005,0.005,0.001,0.005,-1.4711236049012466
2,0.005,0.001,0.001,0.005,-1.4711236049012466
2,0.005,0.007,0.001,0.005,-1.4711236049012466
2,0.005,0.008,0.001,0.005,-1.4711236049012466
1,0.006,0.008,0.001,0.003,-1.436642421772395
1,0.006,0.006,0.001,0.003,-1.436642421772395
1,0.006,0.002,0.001,0.003,-1.436642421772395
1,0.006,0.003,0.001,0.003,-1.436642421772395
1,0.006,0.001,0.001,0.003,-1.436642421772395
1,0.006,0.007,0.001,0.003,-1.436642421772395
1,0.006,0.004,0.001,0.003,-1.436642421772395
1,0.006,0.005,0.001,0.003,-1.436642421772395
1,0.008,0.005,0.001,0.003,-1.3962277390236864
1,0.008,0.002,0.001,0.003,-1.3962277390236864
1,0.008,0.006,0.001,0.003,-1.3962277390236864
1,0.008,0.004,0.001,0.003,-1.3962277390236864
1,0.008,0.001,0.001,0.003,-1.3962277390236864
1,0.008,0.008,0.001,0.003,-1.3962277390236864
1,0.008,0.007,0.001,0.003,-1.3962277390236864
1,0.008,0.003,0.001,0.003,-1.3962277390236864
2,0.004,0.001,0.001,0.002,-1.3638131833198675
2,0.004,0.008,0.001,0.002,-1.3638131833198675
2,0.004,0.003,0.001,0.002,-1.3638131833198675
2,0.004,0.002,0.001,0.002,-1.3638131833198675
2,0.004,0.006,0.001,0.002,-1.3638131833198675
2,0.004,0.004,0.001,0.002,-1.3638131833198675
2,0.004,0.005,0.001,0.002,-1.3638131833198675
2,0.004,0.007,0.001,0.002,-1.3638131833198675
2,0.003,0.005,0.001,0.005,-1.3226023483990919
2,0.003,0.004,0.001,0.005,-1.3226023483990919
2,0.003,0.003,0.001,0.005,-1.3226023483990919
2,0.003,0.001,0.001,0.005,-1.3226023483990919
2,0.003,0.002,0.001,0.005,-1.3226023483990919
2,0.003,0.007,0.001,0.005,-1.3226023483990919
2,0.003,0.008,0.001,0.005,-1.3226023483990919
2,0.003,0.006,0.001,0.005,-1.3226023483990919
1,0.005,0.007,0.001,0.001,-1.3015056747771232
1,0.005,0.002,0.001,0.001,-1.3015056747771232
1,0.005,0.005,0.001,0.001,-1.3015056747771232
1,0.005,0.006,0.001,0.001,-1.3015056747771232
1,0.005,0.004,0.001,0.001,-1.3015056747771232
1,0.005,0.008,0.001,0.001,-1.3015056747771232
1,0.005,0.003,0.001,0.001,-1.3015056747771232
1,0.005,0.001,0.001,0.001,-1.3015056747771232
1,0.006,0.004,0.001,0.004,-1.300843785137791
